Questions,Answers,Intent
चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ कि पाइदैन ?,चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ र सो बापत बैंक तथा वित्तीय संस्थाले अग्रिम भुक्तानी शुल्क (Prepayment charges) लिन नपाउने व्यवस्था रहेको छ । View More,बैंक तथा वित्तीय संस्था नियमन
वर्किंग क्यापिटल प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न सकिन्छ कि पाइदैन ?,चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ र सो बापत बैंक तथा वित्तीय संस्थाले अग्रिम भुक्तानी शुल्क (Prepayment charges) लिन नपाउने व्यवस्था रहेको छ । View More,बैंक तथा वित्तीय संस्था नियमन
चालू पुँजी प्रकृतिको आवधिक ऋण अग्रिम रुपमा चुक्ता सम्पादन गर्न पाइन्छ कि पाइदैन सम्बन्धमा जानकारी दिनुहोस् ?,चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ र सो बापत बैंक तथा वित्तीय संस्थाले अग्रिम भुक्तानी शुल्क (Prepayment charges) लिन नपाउने व्यवस्था रहेको छ । View More,बैंक तथा वित्तीय संस्था नियमन
व्यापारिक पुँजी प्रकृतिको आवधिक उधारो अग्रिम रुपमा चुक्ता गर्न पाइन्छ कि पाइदैन  सम्बन्धमा प्रकाश पार्नुहोस् ?,चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ र सो बापत बैंक तथा वित्तीय संस्थाले अग्रिम भुक्तानी शुल्क (Prepayment charges) लिन नपाउने व्यवस्था रहेको छ । View More,बैंक तथा वित्तीय संस्था नियमन
के चालू पुँजी प्रकृतिको आवधिक ऋण अग्रिम रुपमा भुक्तानी गर्न सकिन्छ कि पाइदैन ?,चालू पुँजी प्रकृतिको आवधिक कर्जा अग्रिम रुपमा चुक्ता गर्न पाइन्छ र सो बापत बैंक तथा वित्तीय संस्थाले अग्रिम भुक्तानी शुल्क (Prepayment charges) लिन नपाउने व्यवस्था रहेको छ । View More,बैंक तथा वित्तीय संस्था नियमन
चालू पुँजी कर्जाको सीमा सम्पूर्ण कर्जाको लागि लागु हुन्छ ?,चालूपुँजी कर्जाको सीमा चालू पुँजी बाहेक अन्य कर्जाका लागि लागु हुँदैन । व्यवसायका लागि आवश्यक पर्ने अन्य कर्जा विद्यमान नीति नियम अनुसार बैंक तथा वित्तीय संस्थाले सोही प्रयोजनका लागि प्रदान गर्न सक्दछन् । View More,बैंक तथा वित्तीय संस्था नियमन
वर्किंग क्यापिटल लोनको सीमा सम्पूर्ण कर्जाको लागि लागु हुन्छ ?,चालूपुँजी कर्जाको सीमा चालू पुँजी बाहेक अन्य कर्जाका लागि लागु हुँदैन । व्यवसायका लागि आवश्यक पर्ने अन्य कर्जा विद्यमान नीति नियम अनुसार बैंक तथा वित्तीय संस्थाले सोही प्रयोजनका लागि प्रदान गर्न सक्दछन् । View More,बैंक तथा वित्तीय संस्था नियमन
वर्किंग क्यापिटल ऋणको सीमा सम्पूर्ण कर्जाको लागि लागु हुन्छ भन्ने बारेमा के छ ?,चालूपुँजी कर्जाको सीमा चालू पुँजी बाहेक अन्य कर्जाका लागि लागु हुँदैन । व्यवसायका लागि आवश्यक पर्ने अन्य कर्जा विद्यमान नीति नियम अनुसार बैंक तथा वित्तीय संस्थाले सोही प्रयोजनका लागि प्रदान गर्न सक्दछन् । View More,बैंक तथा वित्तीय संस्था नियमन
व्यापारिक पुँजी कर्जाको बाउन्डरी सम्पूर्ण कर्जाको लागि लागु हुन्छ  बारे बताउनुहोस् ?,चालूपुँजी कर्जाको सीमा चालू पुँजी बाहेक अन्य कर्जाका लागि लागु हुँदैन । व्यवसायका लागि आवश्यक पर्ने अन्य कर्जा विद्यमान नीति नियम अनुसार बैंक तथा वित्तीय संस्थाले सोही प्रयोजनका लागि प्रदान गर्न सक्दछन् । View More,बैंक तथा वित्तीय संस्था नियमन
के वर्किंग क्यापिटल कर्जाको परिसीमा सम्पूर्ण कर्जाको लागि लागु हुने गरेको छ ?,चालूपुँजी कर्जाको सीमा चालू पुँजी बाहेक अन्य कर्जाका लागि लागु हुँदैन । व्यवसायका लागि आवश्यक पर्ने अन्य कर्जा विद्यमान नीति नियम अनुसार बैंक तथा वित्तीय संस्थाले सोही प्रयोजनका लागि प्रदान गर्न सक्दछन् । View More,बैंक तथा वित्तीय संस्था नियमन
Variance सम्बन्धी व्यवस्था किन र कस्तो अवस्थामा लागु हुन्छ ?,ऋणीले पेशगर्ने अनुमानित वित्तीय विवरणलाई यथार्थपरक बनाउनका लागि Variance सम्बन्धी व्यवस्था लागु गरिएको हो । कर्जा सीमा निर्धारण गर्दा ऋणीले पेश गरेको अनुमानित विवरणको कारोबार रकम लेखा परिक्षण प्रतिवेदनमा भएको कारोबार रकमभन्दा २० प्रतिशतभन्दा बढीले कम भएमा मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
Variance सम्बन्धी विधान के कारणले र कस्तो अवस्थामा लागु हुन्छ ?,ऋणीले पेशगर्ने अनुमानित वित्तीय विवरणलाई यथार्थपरक बनाउनका लागि Variance सम्बन्धी व्यवस्था लागु गरिएको हो । कर्जा सीमा निर्धारण गर्दा ऋणीले पेश गरेको अनुमानित विवरणको कारोबार रकम लेखा परिक्षण प्रतिवेदनमा भएको कारोबार रकमभन्दा २० प्रतिशतभन्दा बढीले कम भएमा मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
के Variance सम्बन्धी व्यवस्था किन र कस्तो अवस्थामा लागु भएको हुन्अवस्था छ ?,ऋणीले पेशगर्ने अनुमानित वित्तीय विवरणलाई यथार्थपरक बनाउनका लागि Variance सम्बन्धी व्यवस्था लागु गरिएको हो । कर्जा सीमा निर्धारण गर्दा ऋणीले पेश गरेको अनुमानित विवरणको कारोबार रकम लेखा परिक्षण प्रतिवेदनमा भएको कारोबार रकमभन्दा २० प्रतिशतभन्दा बढीले कम भएमा मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
Variance सम्बन्धी प्रावधान किन र कस्ता अवस्थामा लागु हुन्छ  विषयमा स्पष्ट पार्नुहोस् ?,ऋणीले पेशगर्ने अनुमानित वित्तीय विवरणलाई यथार्थपरक बनाउनका लागि Variance सम्बन्धी व्यवस्था लागु गरिएको हो । कर्जा सीमा निर्धारण गर्दा ऋणीले पेश गरेको अनुमानित विवरणको कारोबार रकम लेखा परिक्षण प्रतिवेदनमा भएको कारोबार रकमभन्दा २० प्रतिशतभन्दा बढीले कम भएमा मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
के variance सम्बन्धी प्रावधान किन र कस्तो अवस्थामा लागु हुने गरेको स्थिति छ ?,ऋणीले पेशगर्ने अनुमानित वित्तीय विवरणलाई यथार्थपरक बनाउनका लागि Variance सम्बन्धी व्यवस्था लागु गरिएको हो । कर्जा सीमा निर्धारण गर्दा ऋणीले पेश गरेको अनुमानित विवरणको कारोबार रकम लेखा परिक्षण प्रतिवेदनमा भएको कारोबार रकमभन्दा २० प्रतिशतभन्दा बढीले कम भएमा मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
व्यवसायसँग सम्बन्धित कर्जा तिर्ने प्रयोजनकालागि क्यास क्रेडिटमा भएको सीमा प्रयोग गर्न मिल्छ ?,"क्यास क्रेडिटको सीमा कर्जासँग सम्बन्धित साँवा, ब्याज तथा कुनै पनि प्रकारको शूल्क भुक्तानीमा प्रयोग गर्न पाईदैन । View More",बैंक तथा वित्तीय संस्था नियमन
व्यवसायसँग सम्बन्धित कर्जा तिर्ने प्रयोजनकालागि क्यास क्रेडिटमा भएको सीमा प्रयोग गर्नु मिल्छ ?,"क्यास क्रेडिटको सीमा कर्जासँग सम्बन्धित साँवा, ब्याज तथा कुनै पनि प्रकारको शूल्क भुक्तानीमा प्रयोग गर्न पाईदैन । View More",बैंक तथा वित्तीय संस्था नियमन
कसरी व्यवसायसँग सम्बन्धित कर्जा तिर्ने प्रयोजनकालागि क्यास क्रेडिटमा भएको लिमिट प्रयोग गर्न पाइन्छ ?,"क्यास क्रेडिटको सीमा कर्जासँग सम्बन्धित साँवा, ब्याज तथा कुनै पनि प्रकारको शूल्क भुक्तानीमा प्रयोग गर्न पाईदैन । View More",बैंक तथा वित्तीय संस्था नियमन
व्यवसायसँग सम्बन्धित लोन तिर्ने प्रयोजनकालागि क्यास क्रेडिटमा भएको सीमा प्रयोग गर्न अनुमति छ  भनेर जानकारी दिनुहोस् ?,"क्यास क्रेडिटको सीमा कर्जासँग सम्बन्धित साँवा, ब्याज तथा कुनै पनि प्रकारको शूल्क भुक्तानीमा प्रयोग गर्न पाईदैन । View More",बैंक तथा वित्तीय संस्था नियमन
व्यवसायसँग सम्बन्धित ऋण तिर्ने प्रयोजनकालागि क्यास क्रेडिटमा भएको लिमिट प्रयोग गर्ने मिल्छ ?,"क्यास क्रेडिटको सीमा कर्जासँग सम्बन्धित साँवा, ब्याज तथा कुनै पनि प्रकारको शूल्क भुक्तानीमा प्रयोग गर्न पाईदैन । View More",बैंक तथा वित्तीय संस्था नियमन
अधिविकर्ष (Overdraft) प्रकारको कर्जा कसले लिन पाउँछ ?,चालू पुँजी कर्जासम्बन्धी मार्गदर्शन २०७९ लागु भएपश्चात अधिविकर्ष प्रकारको कर्जा प्राकृतिक व्यक्तिले मात्र लिन पाउँछन् । कुनै पनि संस्था/फर्म/कम्पनीले भने त्यस्तो कर्जा लिन पाउँदैनन् । View More,बैंक तथा वित्तीय संस्था नियमन
अधिविकर्ष (Overdraft) वर्गको वित्तीय सहायता कसले लिन पाउँछ ?,चालू पुँजी कर्जासम्बन्धी मार्गदर्शन २०७९ लागु भएपश्चात अधिविकर्ष प्रकारको कर्जा प्राकृतिक व्यक्तिले मात्र लिन पाउँछन् । कुनै पनि संस्था/फर्म/कम्पनीले भने त्यस्तो कर्जा लिन पाउँदैनन् । View More,बैंक तथा वित्तीय संस्था नियमन
कसरी अधिविकर्ष (Overdraft) श्रेणीको ऋण कसले लिन पाउँछ ?,चालू पुँजी कर्जासम्बन्धी मार्गदर्शन २०७९ लागु भएपश्चात अधिविकर्ष प्रकारको कर्जा प्राकृतिक व्यक्तिले मात्र लिन पाउँछन् । कुनै पनि संस्था/फर्म/कम्पनीले भने त्यस्तो कर्जा लिन पाउँदैनन् । View More,बैंक तथा वित्तीय संस्था नियमन
अधिविकर्ष (Overdraft) वर्गको कर्जा कसले लिन पाउँअवस्था छ  विषयमा स्पष्ट पार्नुहोस् ?,चालू पुँजी कर्जासम्बन्धी मार्गदर्शन २०७९ लागु भएपश्चात अधिविकर्ष प्रकारको कर्जा प्राकृतिक व्यक्तिले मात्र लिन पाउँछन् । कुनै पनि संस्था/फर्म/कम्पनीले भने त्यस्तो कर्जा लिन पाउँदैनन् । View More,बैंक तथा वित्तीय संस्था नियमन
के अधिविकर्ष (overdraft) श्रेणीको कर्जा कसले लिन पाउँअवस्था छ ?,चालू पुँजी कर्जासम्बन्धी मार्गदर्शन २०७९ लागु भएपश्चात अधिविकर्ष प्रकारको कर्जा प्राकृतिक व्यक्तिले मात्र लिन पाउँछन् । कुनै पनि संस्था/फर्म/कम्पनीले भने त्यस्तो कर्जा लिन पाउँदैनन् । View More,बैंक तथा वित्तीय संस्था नियमन
एकपटक चालू पुँजी प्रयोजनको आवधिक कर्जा लिए पछि पुनःलिन मिल्छ ?,एकै ऋणीलाई विभिन्न समयान्तरमा ऋणीको आवश्यकता अनुसार बैंक तथा वित्तीय संस्थाले व्यवसायिक आवश्यकता देखेमा एक भन्दा बढी चालूपुँजी प्रयोजनको आवधिक कर्जा प्रदान गर्न सक्दछन । View More,बैंक तथा वित्तीय संस्था नियमन
एकपटक चालू पुँजी प्रयोजनको आवधिक ऋण लिए पछि पुनःलिन सुविधा छ ?,एकै ऋणीलाई विभिन्न समयान्तरमा ऋणीको आवश्यकता अनुसार बैंक तथा वित्तीय संस्थाले व्यवसायिक आवश्यकता देखेमा एक भन्दा बढी चालूपुँजी प्रयोजनको आवधिक कर्जा प्रदान गर्न सक्दछन । View More,बैंक तथा वित्तीय संस्था नियमन
के एकपटक कार्यशील पुँजी प्रयोजनको आवधिक कर्जा लिए पछि पुनःलिन पाइन्छ ?,एकै ऋणीलाई विभिन्न समयान्तरमा ऋणीको आवश्यकता अनुसार बैंक तथा वित्तीय संस्थाले व्यवसायिक आवश्यकता देखेमा एक भन्दा बढी चालूपुँजी प्रयोजनको आवधिक कर्जा प्रदान गर्न सक्दछन । View More,बैंक तथा वित्तीय संस्था नियमन
एकपटक चालू पुँजी प्रयोजनको आवधिक लोन लिए पछि पुनःलिन अनुमति छ  विषयमा स्पष्ट पार्नुहोस् ?,एकै ऋणीलाई विभिन्न समयान्तरमा ऋणीको आवश्यकता अनुसार बैंक तथा वित्तीय संस्थाले व्यवसायिक आवश्यकता देखेमा एक भन्दा बढी चालूपुँजी प्रयोजनको आवधिक कर्जा प्रदान गर्न सक्दछन । View More,बैंक तथा वित्तीय संस्था नियमन
एकपटक कार्यशील पुँजी प्रयोजनको आवधिक उधारो लिए पछि पुनःलिन अनुमति छ ?,एकै ऋणीलाई विभिन्न समयान्तरमा ऋणीको आवश्यकता अनुसार बैंक तथा वित्तीय संस्थाले व्यवसायिक आवश्यकता देखेमा एक भन्दा बढी चालूपुँजी प्रयोजनको आवधिक कर्जा प्रदान गर्न सक्दछन । View More,बैंक तथा वित्तीय संस्था नियमन
कार्यविधिको १० प्रतिशत वक्यौता सम्बन्धी व्यवस्था सम्पूर्ण चालू पुँजी कर्जाको लागि हो ?,होइन । यस कार्यविधिमा चार प्रकारको चालू पुँजी कर्जा मध्ये क्यास क्रेडिट कर्जाका लागि मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
कार्यविधिको १० प्रतिशत वक्यौता सम्बन्धी नीति सम्पूर्ण चालू पुँजी लोनको लागि हो ?,होइन । यस कार्यविधिमा चार प्रकारको चालू पुँजी कर्जा मध्ये क्यास क्रेडिट कर्जाका लागि मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
कसरी कार्यविधिको १० प्रतिशत वक्यौता सम्बन्धी प्रावधान सम्पूर्ण वर्किंग क्यापिटल कर्जाको लागि हो ?,होइन । यस कार्यविधिमा चार प्रकारको चालू पुँजी कर्जा मध्ये क्यास क्रेडिट कर्जाका लागि मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
कार्यविधिको १० प्रतिशत वक्यौता सम्बन्धी व्यवस्था सम्पूर्ण व्यापारिक पुँजी लोनको लागि हो  विषयमा स्पष्ट पार्नुहोस् ?,होइन । यस कार्यविधिमा चार प्रकारको चालू पुँजी कर्जा मध्ये क्यास क्रेडिट कर्जाका लागि मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
के कार्यविधिको १० प्रतिशत वक्यौता सम्बन्धी व्यवस्था सम्पूर्ण व्यापारिक पुँजी लोनको लागि हो ?,होइन । यस कार्यविधिमा चार प्रकारको चालू पुँजी कर्जा मध्ये क्यास क्रेडिट कर्जाका लागि मात्र यो व्यवस्था लागु हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
चालू पुँजी कर्जा खातामा के कस्ता रकम जम्मा गर्न मिल्छ ? उक्त खाता संचालन गर्ने प्रावधान के रहेको छ ?,ऋणीले चालू पुँजी कर्जाका बिभिन्न खाताहरुमध्ये क्यास क्रेडिट कर्जा खातामा जुनसुकै श्रोतबाट पनि रकम जम्मा गर्न सक्छन् । तर उक्त खाताबाट व्यावसायिक प्रयोजनबाहेक अन्य कुनै पनि प्रयोजनका लागि रकम भुक्तानी गर्न नमिल्ने भएकोले यसरी खातामा रकम जम्मा गर्दा पर्याप्त विश्लेषण गरेर मात्र गनुपर्ने हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
चालू पुँजी वित्तीय सहायता खातामा के कस्ता रुपैयाँ जम्मा गर्न मिल्छ ? उक्त खाता संचालन गर्ने प्रावधान के रहेको छ ?,ऋणीले चालू पुँजी कर्जाका बिभिन्न खाताहरुमध्ये क्यास क्रेडिट कर्जा खातामा जुनसुकै श्रोतबाट पनि रकम जम्मा गर्न सक्छन् । तर उक्त खाताबाट व्यावसायिक प्रयोजनबाहेक अन्य कुनै पनि प्रयोजनका लागि रकम भुक्तानी गर्न नमिल्ने भएकोले यसरी खातामा रकम जम्मा गर्दा पर्याप्त विश्लेषण गरेर मात्र गनुपर्ने हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
के व्यापारिक पुँजी उधारो खातामा के कस्ता रकम जम्मा गर्न मिल्छ ? उक्त खाता संचालन गर्ने प्रावधान के रहेको छ ?,ऋणीले चालू पुँजी कर्जाका बिभिन्न खाताहरुमध्ये क्यास क्रेडिट कर्जा खातामा जुनसुकै श्रोतबाट पनि रकम जम्मा गर्न सक्छन् । तर उक्त खाताबाट व्यावसायिक प्रयोजनबाहेक अन्य कुनै पनि प्रयोजनका लागि रकम भुक्तानी गर्न नमिल्ने भएकोले यसरी खातामा रकम जम्मा गर्दा पर्याप्त विश्लेषण गरेर मात्र गनुपर्ने हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
चालू पुँजी ऋण खातामा के कस्ता रकम जम्मा गर्न मिल्छ ? उक्त खाता रन गर्ने प्रावधान के रहेको छ  विषयमा स्पष्ट पार्नुहोस् ?,ऋणीले चालू पुँजी कर्जाका बिभिन्न खाताहरुमध्ये क्यास क्रेडिट कर्जा खातामा जुनसुकै श्रोतबाट पनि रकम जम्मा गर्न सक्छन् । तर उक्त खाताबाट व्यावसायिक प्रयोजनबाहेक अन्य कुनै पनि प्रयोजनका लागि रकम भुक्तानी गर्न नमिल्ने भएकोले यसरी खातामा रकम जम्मा गर्दा पर्याप्त विश्लेषण गरेर मात्र गनुपर्ने हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
के कार्यशील पुँजी लोन खातामा के कस्ता रकम जम्मा गर्न मिल्छ ? उक्त खाता रन गर्ने प्रावधान के रहेको छ ?,ऋणीले चालू पुँजी कर्जाका बिभिन्न खाताहरुमध्ये क्यास क्रेडिट कर्जा खातामा जुनसुकै श्रोतबाट पनि रकम जम्मा गर्न सक्छन् । तर उक्त खाताबाट व्यावसायिक प्रयोजनबाहेक अन्य कुनै पनि प्रयोजनका लागि रकम भुक्तानी गर्न नमिल्ने भएकोले यसरी खातामा रकम जम्मा गर्दा पर्याप्त विश्लेषण गरेर मात्र गनुपर्ने हुन्छ । View More,बैंक तथा वित्तीय संस्था नियमन
